Id,Description
9,"Category 9'Aerospace and Propulsion"
9E,"E. 'Technology'"
9E001,"9E001 'Technology' according to the General Technology Note for the 'development' of equipment or 'software', controlled by 9A004, 9A012, 9B (except for ECCNs 9B604, 9B610, 9B619, 9B990 and 9B991), or ECCN 9D001 to 9D004, 9D101, or 9D104."
9E002,"9E002 'Technology' according to the General Technology Note for the 'production' of 'equipment' controlled by ECCN 9A004 or 9B (except for ECCNs 9B117, 9B604, 9B610, 9B619, 9B990, and 9B991)."
9E003,9E003 Other 'technology' as follows (see List of Items Controlled).
9E003.a,"a. 'Technology' 'required' for the 'development' or 'production' of any of the following gas turbine engine 'parts,' 'components' or systems:"
9E003.a.1,"a.1. Gas turbine blades, vanes or 'tip shrouds', made from Directionally Solidified (DS) or Single Crystal (SC) alloys and having (in the 001 Miller Index Direction) a stress-rupture life exceeding 400 hours at 1,273 K (1,000 'C) at a stress of 200 MPa, based on the average property values;"
9E003.a.2,"a.2. Combustors having any of the following:"
9E003.a.2.a,"a.2.a. 'Thermally decoupled liners' designed to operate at 'combustor exit temperature' exceeding 1,883 K (1,610 'C);"
9E003.a.2.b,"a.2.b. Non-metallic liners;"
9E003.a.2.c,a.2.c. Non-metallic shells; 
9E003.a.2.d,"a.2.d. Liners designed to operate at 'combustor exit temperature' exceeding 1,883 K (1,610 'C) and having holes that meet the parameters specified by 9E003.c;"
9E003.a.2.e,"a.2.e. Utilizing 'pressure gain combustion';"
9E003.a.3,"a.3. 'Parts' or 'components,' that are any of the following:"
9E003.a.3.a,"a.3.a. Manufactured from organic 'composite' materials designed to operate above 588 K (315 'C);"
9E003.a.3.b,"a.3.b. Manufactured from any of the following:"
9E003.a.3.b.1,"a.3.b.1. Metal 'matrix' 'composites' reinforced by any of the following:"
9E003.a.3.b.1.a,"a.3.b.1.a. Materials controlled by 1C007;"
9E003.a.3.b.1.b,a.3.b.1.b. 'Fibrous or filamentary materials' specified by 1C010; 
9E003.a.3.b.1.c,a.3.b.1.c. Aluminides specified by 1C002.a; 
9E003.a.3.b.2,a.3.b.2. Ceramic 'matrix' 'composites' specified by 1C007; 
9E003.a.3.c,"a.3.c. Stators, vanes, blades, tip seals (shrouds), rotating blings, rotating blisks or 'splitter ducts', that are all of the following:"
9E003.a.3.c.1,"a.3.c.1. Not specified in 9E003.a.3.a;"
9E003.a.3.c.2,a.3.c.2. Designed for compressors or fans; 
9E003.a.3.c.3,"a.3.c.3. Manufactured from material controlled by 1C010.e with resins controlled by 1C008;"
9E003.a.4,"a.4. Uncooled turbine blades, vanes or 'tip shrouds' designed to operate at a 'gas path temperature' of 1,373 K (1,100 'C) or more;"
9E003.a.5,"a.5. Cooled turbine blades, vanes or 'tip shrouds', other than those described in 9E003.a.1, designed to operate at a 'gas path temperature' of 1,693 K (1,420 'C) or more;"
9E003.a.6,"a.6. Airfoil-to-disk blade combinations using solid state joining;"
9E003.a.7,"a.7. [Reserved]"
9E003.a.8,a.8. 'Damage tolerant' gas turbine engine rotor 'parts' or 'components' using powder metallurgy materials controlled by 1C002.b; 
9E003.a.9,"a.9. [Reserved]"
9E003.a.10,"a.10. [Reserved]"
9E003.a.11,"a.11. 'Fan blades' having all of the following:"
9E003.a.11.a,a.11.a. 20% or more of the total volume being one or more closed cavities containing vacuum or gas only; 
9E003.a.11.b,"a.11.b. One or more closed cavities having a volume of 5 cm or larger;"
9E003.b,"b. 'Technology' 'required' for the 'development' or 'production' of any of the following:"
9E003.b.1,b.1. Wind tunnel aero-models equipped with non-intrusive sensors capable of transmitting data from the sensors to the data acquisition system; 
9E003.b.2,"b.2. 'Composite' propeller blades or prop-fans, capable of absorbing more than 2,000 kW at flight speeds exceeding Mach 0.55;"
9E003.c,"c. 'Technology' 'required' for manufacturing cooling holes in gas turbine engine 'parts' or 'components' incorporating any of the 'technologies' specified by 9E003.a.1, 9E003.a.2, or 9E003.a.5, and having any of the following:"
9E003.c.1,"c.1. Having all of the following:"
9E003.c.1.a,"c.1.a. Minimum 'cross-sectional area' less than 0.45 mm;"
9E003.c.1.b,c.1.b. 'Hole shape ratio' greater than 4.52; 
9E003.c.1.c,c.1.c. 'Incidence angle' equal to or less than 25'; 
9E003.c.2,"c.2. Having all of the following:"
9E003.c.2.a,"c.2.a. Minimum 'cross-sectional area' less than 0.12 mm;"
