Node1,Relationship,Node2
9A002,part,9A002.p1
9A002.a,part,9A002.a.p1
9A002.b,part,9A002.b.p1
9A004,part,9A004.p1
9A004.f.1,part,9A004.f.1.p1
9A004.f.2,part,9A004.f.2.p1
9A010,part,9A010.p1
9A010.a,part,9A010.a.p1
9A010.b,part,9A010.b.p1
9A010.c,part,9A010.c.p1
9A010.d,part,9A010.d.p1
9A012,part,9A012.p1
9A012.a,part,9A012.a.p1
9A012.b,part,9A012.b.p1
9A101,part,9A101.p1
9A101.a,part,9A101.a.p1
9A101.b,part,9A101.b.p1
9A106,part,9A106.p1
9A106.a,part,9A106.a.p1
9A106.e,part,9A106.e.p1
9A108,part,9A108.p1
9A108.a,part,9A108.a.p1
9A111,part,9A111.p1
9A111.a,part,9A111.a.p1
9A111.b,part,9A111.b.p1
9A111.c,part,9A111.c.p1
9A115,part,9A115.p1
9A115.a,part,9A115.a.p1
9A116,part,9A116.p1
9A118,part,9A118.p1
9A120,part,9A120.p1
9A120.a,part,9A120.a.p1
9A515.a,part,9A515.a.p1
9A604,part,9A604.p1
9A604.a,part,9A604.a.p1
9A604.f.3,part,9A604.f.3.p1
9A604.f.4,part,9A604.f.4.p1
9A604.f.5,part,9A604.f.5.p1
9A604.f.6,part,9A604.f.6.p1
9A604.f.7,part,9A604.f.7.p1
9A110,part,9A110.p1
9A610,part,9A610.p1
9A610.b,part,9A610.b.p1
9A610.t,part,9A610.t.p1
9A610.u,part,9A610.u.p1
9A610.v,part,9A610.v.p1
9A620,part,9A620.p1
9A990,part,9A990.p1
9A990.b,part,9A990.b.p1
9A990.c,part,9A990.c.p1
9A991.c,part,9A991.c.p1
9B001.b,part,9B001.b.p1
9B001.b.1,part,9B001.b.1.p1
9B001.b.2,part,9B001.b.2.p1
9B001.b.3,part,9B001.b.3.p1
9B003,part,9B003.p1
9B004,part,9B004.p1
9B005,part,9B005.p1
9B005.a,part,9B005.a.p1
9B005.b,part,9B005.b.p1
9B005.b,part,9B005.b.p2
9B005.c,part,9B005.c.p1
9B007,part,9B007.p1
9B009,part,9B009.p1
9B104,part,9B104.p1
9B104,part,9B104.p2
9B104,part,9B104.p3
9B104,part,9B104.p4
9B106,part,9B106.p1
9B117,part,9B117.p1
9B117.a,part,9B117.a.p1
9B117.b,part,9B117.b.p1
9B515.b,part,9B515.b.p1
9B610.c,part,9B610.c.p1
9C110,part,9C110.p1
9C110,part,9C110.p2
9B991,part,9B991.p1
9E003.a.2,part,9E003.a.2.p1
9E003.a.3.c,part,9E003.a.3.c.p1
9E003.a.4,part,9E003.a.4.p1
9E003.a.5,part,9E003.a.5.p1
9E003.a.11,part,9E003.a.11.p1
9E003.f.1,part,9E003.f.1.p1
9E003.f.2,part,9E003.f.2.p1
9E003.f.3,part,9E003.f.3.p1
9E003.f,part,9E003.f.p1
9E003.h,part,9E003.h.p1
9E003.h.2,part,9E003.h.2.p1
9E003.h.3,part,9E003.h.3.p1
9E003.i,part,9E003.i.p1
9E610.b.6,part,9E610.b.6.p1
9D610.b.7,part,9D610.b.7.p1
9D610.b.14,part,9D610.b.14.p1
9A620,part,9A620.p1
9A620,part,9A620.p2
XV,part,XV.p1
XV.a.7,part,XV.a.7.p1
XV.a.8,part,XV.a.8.p1
XV.e.1,part,XV.e.1.p1
XV.e.2,part,XV.e.2.p1
XV.e.3,part,XV.e.3.p1
XV.e.10,part,XV.e.10.p1
XV.e.12,part,XV.e.12.p1
XV.e.15,part,XV.e.15.p1
XV.e.16,part,XV.e.16.p1
9A002.a.p1,power_range,9A002.a.p1.r1
9A002.b.p1,power_range,2
9A004.f.1.p1,function,4
9A004.f.2.p1,function,6
9A010.a.p1,material,7
9A010.b.p1,material,9
9A010.c.p1,function,12
9A010.d.p1,power_range,13
9A012.a.p1,time_range,15
9A012.b.p1,power_range,17
9A101.a.p1,power_range,19
9A101.b.p1,range,23
9A106.a.p1,frequency_range,24
9A106.e.p1,frequency_range,25
9A108.a.p1,range,26
9A111.a.p1,range,27
9A111.b.p1,range,28
9A111.c.p1,range,29
9A115.a.p1,range,30
9A120.a.p1,volume_range,32
9A515.a.p1,range,33
9A604.a.p1,range,34
9A604.f.3.p1,power_range,37
9A604.f.4.p1,power_range,38
9A604.f.5.p1,load_range,39
9A604.f.6.p1,load_range,41
9A604.f.7.p2,load_range,43
9A610.b.p1,manufacturing_year,45
9A610.t.p1,range,46
9A610.t.p1,range,47
9A610.v.p1,load_range,48
9A990.b.p1,load_range,57
9A990.c.p1,load_range,58
9B001.b.1,used_for,65
9B001.b.2.p1,used_for,67
9B001.b.3.p1,used_for,69
9B005.a.p1,speed_range,75
9B005.b.p1,speed_range,76
9B005.c.p1,range,82
9B106.a.p1,range,103
9B106.a.2.p2,temperature_range,104
9B106.a.1.p1,altitude_range,105
9B117.a.p1,power_range,109
9B117.b.p1,measurement_capability,110
9B610.c.p1,range,112
9E003.a.2.p1,range,125
9E003.a.3.c.p1,used_for,128
9E003.a.4.p1,range,129
9E003.a.5.p1,range,130
9E003.a.11.p1,range,131
9E003.f.1.p1,used_for,134
9E003.f.2.p1,pressure_ratio,135
9E003.f.3.p1,injection_amount_range,138
9E003.h.3.p1,function,142
9E610.b.6.p1,used_for,146
XV.a.7.p1,spectral_bands_range,172
XV.a.8.p1,frequency_range,185
XV.e.1.p1,range,187
XV.e.2.p1,range,188
XV.e.3.p1,range,190
XV.e.10.p1,range,191
XV.e.12.p1,load_range,192
XV.e.15.p1,frequency_range,193
XV.e.16.p1,range,194
