Node1,Relationship,Node2
9,ChildIs,9A
9A,ChildIs,9A001
9A001,ChildIs,9A001.a
9A,ChildIs,9A002
9A002,ChildIs_and,9A002.a
9A002,ChildIs_and,9A002.b
9A,ChildIs,9A003
9A003,ChildIs_or,9A003.a
9A003,ChildIs_or,9A003.b
9A,ChildIs,9A004
9A004,ChildIs,9A004.a
9A004,ChildIs,9A004.b
9A004,ChildIs,9A004.c
9A004,ChildIs,9A004.d
9A004,ChildIs,9A004.e
9A004.e,ChildIs_or,9A004.e.1
9A004.e,ChildIs_or,9A004.e.2
9A004.e,ChildIs_or,9A004.e.3
9A004,ChildIs,9A004.f
9A004.f,ChildIs,9A004.f.1
9A004.f.1,ChildIs_or,9A004.f.1.a
9A004.f.1,ChildIs_or,9A004.f.1.b
9A004.f,ChildIs,9A004.f.2
9A004,ChildIs,9A004.g
9A004,ChildIs,9A004.h
9A004,ChildIs,9A004.u
9A004,ChildIs,9A004.v
9A004.v,ChildIs_not_any,9A004.v.1
9A004.v,ChildIs_not_any,9A004.v.2
9A004.v,ChildIs_not_any,9A004.v.3
9A004.v,ChildIs_not_any,9A004.v.4
9A004,ChildIs,9A004.w
9A004,ChildIs,9A004.x
9A004,ChildIs,9A004.y
9A,ChildIs,9A005
9A,ChildIs,9A006
9A,ChildIs,9A007
9A,ChildIs,9A008
9A,ChildIs,9A009
9A,ChildIs,9A010
9A010,ChildIs,9A010.a
9A010.a,ChildIs_or,9A010.a.1
9A010.a,ChildIs_or,9A010.a.2
9A010.a,ChildIs_or,9A010.a.3
9A010.a.2,ChildIs_or,9A010.a.2.a
9A010.a.2,ChildIs_or,9A010.a.2.b
9A010.a.2,ChildIs_or,9A010.a.2.c
9A010,ChildIs,9A010.b
9A010.b,ChildIs_or,9A010.b.1
9A010.b,ChildIs_or,9A010.b.2
9A010.b,ChildIs_or,9A010.b.3
9A010.b.2,ChildIs_or,9A010.b.2.a
9A010.b.2,ChildIs_or,9A010.b.2.b
9A010.b.2,ChildIs_or,9A010.b.2.c
9A010,ChildIs,9A010.c
9A010,ChildIs,9A010.d
9A,ChildIs,9A011
9A,ChildIs,9A012
9A012,ChildIs_or,9A012.a
9A012,ChildIs_or,9A012.b
9A012.a,ChildIs_and,9A012.a.1
9A012.a,ChildIs_and,9A012.a.2
9A012.a.1,ChildIs_and,9A012.a.1.a
9A012.a.1,ChildIs_and,9A012.a.1.b
9A012.b,ChildIs,9A012.b.3
9A012.b,ChildIs,9A012.b.4
9A,ChildIs,9A018
9A,ChildIs,9A101
9A101,ChildIs_or,9A101.a
9A101,ChildIs_or,9A101.b
9A101.a,ChildIs_and,9A101.a.1
9A101.a,ChildIs_and,9A101.a.2
9A101.a,ChildIs_and,9A101.a.3
9A101.a,ChildIs_and,9A101.a.4
9A,ChildIs,9A102
9A,ChildIs,9A103
9A,ChildIs,9A104
9A,ChildIs,9A105
9A,ChildIs,9A106
9A106,ChildIs,9A106.a
9A106,ChildIs,9A106.b
9A106,ChildIs,9A106.c
9A106,ChildIs,9A106.d
9A106,ChildIs,9A106.e
9A,ChildIs,9A107
9A,ChildIs,9A108
9A,ChildIs,9A109
9A,ChildIs,9A110
9A,ChildIs,9A111
9A,ChildIs,9A115
9A,ChildIs,9A116
9A,ChildIs,9A117
9A,ChildIs,9A118
9A,ChildIs,9A119
9A,ChildIs,9A120
9A120,ChildIs_and,9A120.a
9A120,ChildIs_and,9A120.b
9A120.a,ChildIs_or,9A120.a.1
9A120.a,ChildIs_or,9A120.a.2
9A120.b,ChildIs_or,9A120.b.1
9A120.b,ChildIs_or,9A120.b.2
9A,ChildIs,9A515
9A515,ChildIs,9A515.a
9A515.a,ChildIs,9A515.a.1
9A515.a,ChildIs,9A515.a.2
9A515.a,ChildIs,9A515.a.3
9A515.a,ChildIs,9A515.a.4
9A515.a,ChildIs,9A515.a.5
9A515,ChildIs,9A515.b
9A515,ChildIs,9A515.d
9A515.d,ChildIs_and,9A515.d.1
9A515.d,ChildIs_and,9A515.d.2
9A515.d,ChildIs_and,9A515.d.3
9A515.d,ChildIs_and,9A515.d.4
9A515.d,ChildIs_and,9A515.d.5
9A515,ChildIs,9A515.e
9A515.e,ChildIs_or,9A515.e.1
9A515.e,ChildIs_or,9A515.e.2
9A515,ChildIs,9A515.f
9A515,ChildIs,9A515.g
9A515.g,ChildIs,9A515.g.1
9A515.g,ChildIs,9A515.g.2
9A515.g,ChildIs,9A515.g.3
9A515,ChildIs,9A515.h
9A515,ChildIs,9A515.x
9A515.x,ChildIs_not_any,9A515.x.1
9A515.x,ChildIs_not_any,9A515.x.2
9A515.x,ChildIs_not_any,9A515.x.3
9A515.x,ChildIs_not_any,9A515.x.4
9A515.x,ChildIs_not_any,9A515.x.5
9A515.x,ChildIs_not_any,9A515.x.6
9A515.x,ChildIs_not_any,9A515.x.7
9A515,ChildIs,9A515.y
9A515.y,ChildIs,9A515.y.1
9A515.y,ChildIs,9A515.y.2
9A515.y,ChildIs,9A515.y.3
9A515.y,ChildIs,9A515.y.4
9A515.y,ChildIs,9A515.y.5
9A515.y,ChildIs,9A515.y.6
9A,ChildIs,9A604
9A604,ChildIs,9A604.a
9A604,ChildIs,9A604.b
9A604,ChildIs,9A604.c
9A604,ChildIs,9A604.d
9A604,ChildIs,9A604.e
9A604,ChildIs,9A604.f
9A604.f,ChildIs,9A604.f.1
9A604.f,ChildIs,9A604.f.2
9A604.f,ChildIs,9A604.f.3
9A604.f,ChildIs,9A604.f.4
9A604.f,ChildIs,9A604.f.5
9A604.f,ChildIs,9A604.f.6
9A604.f,ChildIs,9A604.f.7
9A604,ChildIs,9A604.x
9A,ChildIs,9A610
9A610,ChildIs,9A610.a
9A610,ChildIs,9A610.b
9A610,ChildIs,9A610.e
9A610,ChildIs,9A610.f
9A610,ChildIs,9A610.g
9A610,ChildIs,9A610.h
9A610,ChildIs,9A610.i
9A610,ChildIs,9A610.j
9A610,ChildIs,9A610.t
9A610,ChildIs,9A610.u
9A610,ChildIs,9A610.v
9A610.w,ChildIs,9A610.w.1
9A610.w,ChildIs,9A610.w.2
9A610,ChildIs,9A610.x
9A610,ChildIs,9A610.y
9A610.y,ChildIs,9A610.y.1
9A610.y,ChildIs,9A610.y.2
9A610.y,ChildIs,9A610.y.3
9A610.y,ChildIs,9A610.y.4
9A610.y,ChildIs,9A610.y.5
9A610.y,ChildIs,9A610.y.6
9A610.y,ChildIs,9A610.y.7
9A610.y,ChildIs,9A610.y.8
9A610.y,ChildIs,9A610.y.9
9A610.y,ChildIs,9A610.y.10
9A610.y,ChildIs,9A610.y.11
9A610.y,ChildIs,9A610.y.12
9A610.y,ChildIs,9A610.y.13
9A610.y,ChildIs,9A610.y.14
9A610.y,ChildIs,9A610.y.15
9A610.y,ChildIs,9A610.y.16
9A610.y,ChildIs,9A610.y.17
9A610.y,ChildIs,9A610.y.18
9A610.y,ChildIs,9A610.y.19
9A610.y,ChildIs,9A610.y.20
9A610.y,ChildIs,9A610.y.21
9A610.y,ChildIs,9A610.y.22
9A610.y,ChildIs,9A610.y.23
9A610.y,ChildIs,9A610.y.24
9A610.y,ChildIs,9A610.y.25
9A610.y,ChildIs,9A610.y.26
9A610.y,ChildIs,9A610.y.27
9A610.y,ChildIs,9A610.y.28
9A610.y,ChildIs,9A610.y.29
9A610.y,ChildIs,9A610.y.30
9A610.y,ChildIs,9A610.y.31
9A610.y,ChildIs,9A610.y.32
9A,ChildIs,9A619
9A619,ChildIs,9A619.a
9A619,ChildIs,9A619.b
9A619,ChildIs,9A619.c
9A619,ChildIs,9A619.d
9A619,ChildIs,9A619.e
9A619,ChildIs,9A619.f
9A619,ChildIs,9A619.x
9A619,ChildIs,9A619.y
9A619.y,ChildIs,9A619.y.1
9A619.y,ChildIs,9A619.y.2
9A619.y,ChildIs,9A619.y.3
9A619.y,ChildIs,9A619.y.4
9A619.y,ChildIs,9A619.y.5
9A619.y,ChildIs,9A619.y.6
9A619.y,ChildIs,9A619.y.7
9A619.y,ChildIs,9A619.y.8
9A619.y,ChildIs,9A619.y.9
9A,ChildIs,9A620
9A620,ChildIs,9A620.a
9A620,ChildIs,9A620.b
9A620,ChildIs,9A620.x
9A,ChildIs,9A980
9A,ChildIs,9A990
9A990,ChildIs,9A990.a
9A990,ChildIs,9A990.b
9A990,ChildIs,9A990.c
9A,ChildIs,9A991
9A991,ChildIs,9A991.a
9A991.a,ChildIs,9A991.a.1
9A991.a,ChildIs,9A991.a.2
9A991.a,ChildIs,9A991.a.3
9A991.a,ChildIs,9A991.a.4
9A991.a,ChildIs,9A991.a.5
9A991,ChildIs,9A991.b
9A991,ChildIs,9A991.c
9A991,ChildIs,9A991.d
9A991,ChildIs,9A991.e
9A,ChildIs,9A992
9,ChildIs,9B
9B,ChildIs,9B001
9B001,ChildIs,9B001.a
9B001,ChildIs,9B001.b
9B001.b,ChildIs,9B001.b.1
9B001.b,ChildIs,9B001.b.2
9B001.b,ChildIs,9B001.b.3
9B001,ChildIs,9B001.c
9B,ChildIs,9B002
9B002,ChildIs_and,9B002.a
9B002,ChildIs_and,9B002.b
