L_ID,relationship,R_ID
9A002,childIs,9A002.a
9A002,childIs,9A002.b
9A004,childIs,9A004.f.1
9A004,childIs,9A004.f.2
9A010,childIs,9A010.a
9A010,childIs,9A010.b
9A010,childIs,9A010.c
9A010,childIs,9A010.d
9A012,childIs,9A012.a
9A012,childIs,9A012.b
9A101,childIs,9A101.a
9A101,childIs,9A101.b
9A106,childIs,9A106.a
9A106,childIs,9A106.b
9A108,childIs,9A108.a
9A111,childIs,9A111.a
9A111,childIs,9A111.b
9A111,childIs,9A111.c
9A115,childIs,9A115.a
9A116,childIs,9B003
9A118,childIs,9A118.a
9A120,childIs,9A120.a
9A515,childIs,9A515.a
9A604,childIs,9A604.a
9A110,childIs,9A604.c
9A110,childIs,9A604.d
9A110,childIs,9A604.e
9A110,childIs,9A604.f
9A110,childIs,9A604.g
9A110,childIs,9A604.h
9A610,childIs,9A610.a
9A610,childIs,9A610.b
9A610,childIs,9A610.c
9A610,childIs,9A610.d
9A610,childIs,9A610.e
9A610,childIs,9A106.b
9A620,childIs,9A620.a
9A990-1,childIs,9A990.a
9A990-2,childIs,9A990.b
9A991,childIs,9A108.a
9B001,childIs,9B001.a
9B001,childIs,9B001.b
9B001,childIs,9B001.c
9B003,childIs,9B003.a
9B004,childIs,9B004.a
9B005,childIs,9B005.a
9B005,childIs,9B005.b
9B005,childIs,9B005.c
9B007,childIs,9B007.a
9B009,childIs,9B009.a
9B009,childIs,9B009.b
9B104,childIs,9B104.a
9B104,childIs,9B104.b
9B104,childIs,9B104.c
9B105,childIs,9B105.a
9B105,childIs,9B105.b
9B106,childIs,9B106.a
9B117,childIs,9B117.a
9B117,childIs,9B117.b
9B515.b,childIs,9B515.c
9B515,childIs,9B610.c
9C110,childIs,9C110.a
9D004,childIs,9D105.a
9D004,childIs,9D619.b
9E003.a.1,childIs,9E003.a
9E003.a.1,childIs,9E003.b
9E003.a.1,childIs,9E003.c
9E003.a.1,childIs,9E003.d
9E003.a.1,childIs,9E003.e
9E003.a.1,childIs,9E003.f
9E003.a.1,childIs,9E003.i
9E003.f,childIs,9E003.j
9E003.f,childIs,9E003.k
9E003.f,childIs,9E003.l
9E003.h,childIs,9E003.m
9E003.h,childIs,9E003.n
9E003.h,childIs,9E003.o
9E003.i,childIs,9E003.m
9E003.i,childIs,9E003.c
9E003.i,childIs,9E003.o
9E610,childIs,9E610.a
9E610,childIs,9E610.b
9E610,childIs,9E610.d
9E610,childIs,9E610.f
9E610,childIs,9E610.g
9E610,childIs,9E619.b
9A620,childIs,9E620.a
9A620,childIs,9E620.b
9E620,childIs,9E620.c
9E620,childIs,9E620.d
XV,childIs,9A515.a
XV,childIs,XV.e
XV,childIs,XV.f
XV,childIs,XV.g
XV,childIs,XV.h
XV,childIs,XV.k
XV,childIs,XV.m
XV,childIs,XV.o
XV,childIs,XV.p
9A002.a,power_range,1
9A002.b,power_range,2
9A002.b,power_range,3
9A004.f.1,function,4
9A004.f.1,function,5
9A004.f.2,function,6
9A010.a,material,7
9A010.a,material,8
9A010.b,material,9
9A010.b,material,10
9A010.b,material,11
9A010.c,function,12
9A010.d,power_range,13
9A010.d,time_range,14
9A012.a,time_range,15
9A012.a,time_range,16
9A012.b,power_range,17
9A012.c,range,18
9A101.a,power_range,19
9A101.a,power_range,20
9A101.a,load_range,21
9A101.a,range,22
9A101.b,range,23
9A106.a,frequency_range,24
9A106.b,frequency_range,25
9A108.a,range,26
9A111.a,range,27
9A111.b,range,2.80E+01
9A111.c,range,2.90E+01
9A115.a,range,3.00E+01
9A118.a,range,3.10E+01
9A120.a,volume_range,3.20E+01
9A515.a,range,3.30E+01
9A604.a,range,3.40E+01
9A604.b,range,3.50E+01
9A604.c,range,3.60E+01
9A604.d,power_range,3.70E+01
9A604.e,power_range,3.80E+01
9A604.f,load_range,3.90E+01
9A604.f,range,4.00E+01
9A604.g,load_range,4.10E+01
9A604.g,range,4.20E+01
9A604.h,load_range,43
9A604.h,range,44
9A610.a,manufacturing_year,45
9A610.b,range,46
9A610.c,range,47
9A610.d,load_range,48
9A610.d,range,49
9A610.e,load_range,50
9A610.e,range,51
9A106.b,frequency_range,52
9A106.b,frequency_range,53
9A620.a,temperature_range,54
9A990.a,range,55
9A990.a,temperature_range,56
9A990.b,load_range,57
9A990.c,load_range,58
9A991.a,range,59
9A991.a,engine_type,60
9A991.a,engine_type,61
9A991.a,range,62
9A991.a,engine_type,63
9A991.a,engine_type,64
9B001.a,used_for,65
9B001.a,material,66
9B001.b,used_for,67
9B001.b,material,68
9B001.c,used_for,69
9B001.c,material,70
9B003.a,speed_range,71
9B003.a,temperature_range,72
9B004.a,used_for,73
9B004.a,used_for,74
9B005.a,speed_range,75
9B005.b,speed_range,76
9B005.b,speed_range,77
9B005.b,speed_range,78
9B005.b,speed_range,79
9B005.b,speed_range,80
9B005.b,speed_range,81
9B005.c,range,82
9B007.a,exclusions,83
9B009.a,strength_range,84
9B009.a,temperature_range,85
9B009.b,strength_range,86
9B009.b,range,87
9B104.a,range,88
9B104.b,power_range,89
9B104.c,range,90
9B105.a,speed_range,91
9B105.a,used_for,92
9B105.a,range,93
9B105.a,speed_range,94
9B105.a,range,95
9B105.b,type,96
9B105.b,speed_range,97
9B105.b,used_for,98
9B105.b,range,99
9B105.b,type,100
9B105.b,speed_range,101
9B105.b,range,102
9B106.a,range,103
9B106.a,temperature_range,104
9B106.a,frequency_range,105
9B106.a,power_range,106
9B106.a,power_range,107
9B106.a,temperature_range,108
9B117.a,power_range,109
9B117.b,measurement_capability,110
9B515.c,range,111
9B610.c,range,112
9C110.a,matrix_type,113
9C110.a,used_for,114
9C110.a,strength_range,115
9D105.a,range,116
9D619.b,used_for,117
9D619.b,used_for,118
9D619.b,used_for,119
9D619.b,used_for,120
9D619.b,used_for,121
9D619.b,used_for,122
9E003.a,material,123
9E003.a,temperature_range,124
9E003.b,range,125
9E003.c,material,126
9E003.c,temperature_range,127
9E003.d,used_for,128
9E003.e,range,129
9E003.f,range,130
9E003.i,range,131
9E003.i,capability,132
9E003.i,range,133
9E003.j,used_for,134
9E003.k,pressure_ratio,135
9E003.k,mass_flow_range,136
9E003.k,capability,137
9E003.l,injection_amount_range,138
9E003.l,capability,139
9E003.m,function,140
9E003.n,function,141
9E003.o,function,142
9E003.m,function,143
9E003.c,function,144
