Id,Description
9A002,Marine gas turbine engines
9A004,Terrestrial equipment
9A010,"Launch Vehicles, Launch Vehicle Propulsion Systems or Spacecraft"
9A012,Unmanned Aerial Vehicles (UAVs) or unmanned airships
9A101,Turbojet and Turbofan Engines
9A106,"Systems, parts or components usable in missiles"
9A108,Solid rocket propulsion
9A111,Pulse jet engines
9A115,"Apparatus, devices and vehicles"
9A116,Reentry vehicles
9A118,Devices to regulate combustion
9A120,Complete unmanned aerial vehicles
9A515,Spacecraft
9A604,Thermal batteries
9A110,"Composite structures, laminates and manufactures"
9A610,Military Aircraft
9A620,Cryogenic Equipment
9A990-1,Diesel engines
9A990-2,Off highway wheel tractors
9A991,Aero gas turbine engines
9B001,Casting tooling
9B003,Equipment
9B004,"Tools, dies or fixtures"
9B005,"On-line (real time) control systems, instrumentation (including sensors) or automated data acquisition and processing equipment"
9B007,Equipment for inspecting the integrity of rocket motors
9B009,Tooling
9B104,Aerothermodynamic test facilities
9B105,Aerodynamic test facilities
9B106,"Environmental chambers usable for rockets, missiles, or unmanned aerial vehicles"
9B117,Test Benches and Test Stands
9B515.b,Environmental test chambers
9B515,"Test, inspection, and production equipment"
9C110,Resin impregnated fiber prepregs and metal coated fiber preforms
9D004,Software
9E003.a.1,"Gas turbine engine parts, components or systems"
9E003.f,Parts or components for high output diesel engines
9E003.h,Gas turbine engine FADEC systems
9E003.i,Adjustable flow path systems
9E610,Technology
9E620,Superconductive Equipment
XV,"Spacecraft parts, components, accessories, attachments, equipment, or systems"
9A002.a,Maximum continuous power
9A002.b,Corrected specific fuel consumption
9A004.f.1,Telemetry and telecommand equipment
9A004.f.2,Simulators
9A010.a,"Parts, components and structures exceeding 10 kg"
9A010.b,"Parts, components and structures for launch vehicle propulsion systems"
9A010.c,Structural components and isolation systems
9A010.d,Pulsed liquid rocket engines
9A012.a,UAVs or unmanned airships with specific endurance
9A012.b,UAVs or unmanned airships with specific wind gust resistance
9A012.c,Air breathing reciprocating or rotary internal combustion type engines
9A101.a,Engines with specific characteristics
9A101.b,Engines for missiles or UAVs
9A106.a,"Liquid, slurry and gel propellant (including oxidizers) control systems"
9A106.b,Flight control servo valves
9A108.a,Parts and components
9A111.a,Usable in rockets
9A111.b,Usable in missiles
9A111.c,Usable in unmanned aerial vehicles
9A115.a,"Transport, handling, control, activation and launching systems"
9A118.a,Engines
9A120.a,Aerosol dispensing system/mechanism
9A515.a,Electro-optical remote sensing capabilities
9A604.a,Thermal batteries for systems controlled under USML Category IV
9A604.b,Components for hybrid rocket motors
9A604.c,Systems
