Node1,Relationship,Node2
0,ChildIs,IV
IV,ChildIs,IV.a
IV.a,ChildIs,IV.a.1
IV.a,ChildIs,IV.a.2
IV.a,ChildIs,IV.a.3
IV.a,ChildIs,IV.a.4
IV.a,ChildIs,IV.a.5
IV.a,ChildIs,IV.a.6
IV.a,ChildIs,IV.a.7
IV.a,ChildIs,IV.a.8
IV.a,ChildIs,IV.a.9
IV.a,ChildIs,IV.a.10
IV.a,ChildIs,IV.a.11
IV.a,ChildIs,IV.a.12
IV,ChildIs,IV.b
IV.b,ChildIs,IV.b.1
IV.b,ChildIs,IV.b.2
IV,ChildIs,IV.c
IV,ChildIs,IV.d
IV.d,ChildIs,IV.d.1
IV.d,ChildIs,IV.d.2
IV.d,ChildIs,IV.d.3
IV.d,ChildIs,IV.d.4
IV.d,ChildIs,IV.d.5
IV.d,ChildIs,IV.d.6
IV.d,ChildIs,IV.d.7
IV,ChildIs,IV.g
IV,ChildIs,IV.h
IV.h,ChildIs,IV.h.1
IV.h,ChildIs,IV.h.2
IV.h,ChildIs,IV.h.3
IV.h,ChildIs,IV.h.4
IV.h,ChildIs,IV.h.5
IV.h,ChildIs,IV.h.6
IV.h,ChildIs,IV.h.7
IV.h,ChildIs,IV.h.8
IV.h,ChildIs,IV.h.9
IV.h,ChildIs,IV.h.10
IV.h,ChildIs,IV.h.11
IV.h,ChildIs,IV.h.12
IV.h,ChildIs,IV.h.13
IV.h,ChildIs,IV.h.14
IV.h,ChildIs,IV.h.15
IV.h,ChildIs,IV.h.16
IV.h,ChildIs,IV.h.17
IV.h,ChildIs,IV.h.18
IV.h,ChildIs,IV.h.19
IV.h,ChildIs,IV.h.20
IV.h,ChildIs,IV.h.21
IV.h,ChildIs,IV.h.22
IV.h,ChildIs,IV.h.23
IV.h,ChildIs,IV.h.24
IV.h,ChildIs,IV.h.25
IV.h,ChildIs,IV.h.26
IV.h,ChildIs,IV.h.27
IV.h,ChildIs,IV.h.28
IV.h,ChildIs,IV.h.29
IV.h,ChildIs,IV.h.30
IV.h,ChildIs_or,IV.h.30.i
IV.h,ChildIs_or,IV.h.30.ii
IV.h,ChildIs_or,IV.h.30.iii
IV,ChildIs,IV.i
IV,ChildIs,IV.x
0,ChildIs,XV
XV,ChildIs,XV.a
XV.a,ChildIs,XV.a.1
XV.a,ChildIs,XV.a.2
XV.a,ChildIs,XV.a.3
XV.a,ChildIs,XV.a.4
XV.a,ChildIs,XV.a.5
XV.a,ChildIs,XV.a.6
XV.a,ChildIs,XV.a.7
XV.a.7,ChildIs_or,XV.a.7.i
XV.a.8,ChildIs_or,XV.a.7.ii
XV.a.9,ChildIs_or,XV.a.7.iii
XV.a.10,ChildIs_or,XV.a.7.iv
XV.a,ChildIs,XV.a.8
XV.a,ChildIs,XV.a.9
XV.a,ChildIs,XV.a.10
XV.a,ChildIs,XV.a.11
XV.a,ChildIs,XV.a.12
XV.a,ChildIs,XV.a.13
XV,ChildIs,XV.b
XV,ChildIs,XV.e
XV.e,ChildIs,XV.e.1
XV.e.1,ChildIs_or,XV.e.1.i
XV.e.1,ChildIs_or,XV.e.1.ii
XV.e.1,ChildIs_or,XV.e.1.iii
XV.e.1,ChildIs_or,XV.e.1.iv
XV.e,ChildIs,XV.e.2
XV.e.2,ChildIs_or,XV.e.2.i
XV.e.2,ChildIs_or,XV.e.2.ii
XV.e,ChildIs,XV.e.3
XV.e,ChildIs,XV.e.4
XV.e,ChildIs,XV.e.5
XV.e,ChildIs,XV.e.6
XV.e,ChildIs,XV.e.7
XV.e,ChildIs,XV.e.8
XV.e,ChildIs,XV.e.9
XV.e,ChildIs,XV.e.10
XV.e.10,ChildIs_or,XV.e.10.i
XV.e.10,ChildIs_or,XV.e.10.ii
XV.e.10,ChildIs_or,XV.e.10.iii
XV.e.10,ChildIs_or,XV.e.10.iv
XV.e,ChildIs,XV.e.11
XV.e.11,ChildIs,XV.e.11.i
XV.e.11,ChildIs,XV.e.11.ii
XV.e.11,ChildIs,XV.e.11.iii
XV.e.11,ChildIs,XV.e.11.iv
XV.e,ChildIs,XV.e.12
XV.e,ChildIs,XV.e.13
XV.e,ChildIs,XV.e.14
XV.e.14,ChildIs_or,XV.e.14.i
XV.e.14,ChildIs_or,XV.e.14.ii
XV.e,ChildIs,XV.e.15
XV.e,ChildIs,XV.e.16
XV.e,ChildIs,XV.e.17
XV.e,ChildIs,XV.e.18
XV.e,ChildIs,XV.e.19
XV.e,ChildIs,XV.e.20
XV.e,ChildIs,XV.e.21
XV.e.21,ChildIs_or,XV.e.21.i
XV.e.21,ChildIs_or,XV.e.21.ii
XV.e.21,ChildIs_or,XV.e.21.iii
XV,ChildIs,XV.f
XV,ChildIs,XV.x
IV.i,controlledBy,0A604
IV.i,controlledBy,0B604
IV.i,controlledBy,0D604
IV.i,controlledBy,9A604
IV.i,controlledBy,9B604
IV.i,controlledBy,9D608
XV.f,controlledBy,9A515
XV.f,controlledBy,9B515
XV.f,controlledBy,9D515
