Id,Description
IV,"Launch Vehicles, Guided Missiles, Ballistic Missiles, Rockets, Torpedoes, Bombs, and Mines"
IV.a,"* IV(a) Rockets, space launch vehicles (SLVs), missiles, bombs, torpedoes, depth charges, mines, and grenades, as follows:"
IV.a.1,"IV.a.(1) Rockets, SLVs, and missiles capable of delivering at least a 500-kg payload to a range of at least 300 km (MT);"
IV.a.2,"IV.a.(2) Rockets, SLVs, and missiles capable of delivering less than a 500-kg payload to a range of at least 300 km (MT);"
IV.a.3,"IV.a.(3) Man-portable air defense systems (MANPADS);"
IV.a.4,"IV.a.(4) Anti-tank missiles and rockets;"
IV.a.5,"IV.a.(5) Rockets, SLVs, and missiles not meeting the criteria of paragraphs (a)(1) through (a)(4) of this category;"
IV.a.6,"IV.a.(6) Bombs;"
IV.a.7,"IV.a.(7) Torpedoes;"
IV.a.8,"IV.a.(8) Depth charges;"
IV.a.9,"IV.a.(9) Anti-personnel, anti-vehicle, or anti-armor land mines (e.g., area denial devices);"
IV.a.10,"IV.a.(10) Anti-helicopter mines;"
IV.a.11,"IV.a.(11) Naval mines; or"
IV.a.12,"IV.a.(12) Fragmentation and high explosive hand grenades."
IV.b,"*IV.b  Launchers for rockets, SLVs, and missiles, as follows:"
IV.b.1,"IV.b.(1) Fixed launch sites and mobile launcher mechanisms for any system enumerated in paragraphs (a)(1) and (a)(2) of this category (MT); or"
IV.b.2,"IV.b.(2) Fixed launch sites and mobile launcher mechanisms for any system enumerated in paragraphs (a)(3) through (a)(5) of this category (e.g., launch tables, TOW missile, MANPADS)."
IV.c,"IV.c Apparatus and devices specially designed for the handling, control, activation, monitoring, detection, protection, discharge, or detonation of the articles enumerated in paragraphs (a) and (b) of this category (MT for those systems enumerated in paragraphs (a)(1), (a)(2), and (b)(1) of this category)."
IV.d,"* IV.d Rocket, SLV, and missile power plants, as follows:"
IV.d.1,"IV.d.(1) Except as enumerated in paragraph (d)(2) or (d)(3) of this category, individual rocket stages for the articles enumerated in paragraph (a)(1), (a)(2), or (a)(5) of this category (MT for those stages usable in systems enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.d.2,"IV.d.(2) Solid propellant rocket motors, hybrid or gel rocket motors, or liquid propellant rocket engines having a total impulse capacity equal to or greater than 1.1 × 106 N·s (MT);"
IV.d.3,"IV.d.(3) Solid propellant rocket motors, hybrid or gel rocket motors, or liquid propellant rocket engines having a total impulse capacity equal to or greater than 8.41 × 105 N·s, but less than 1.1 × 106 N·s (MT);"
IV.d.4,"IV.d.(4) Combined cycle, pulsejet, ramjet, or scramjet engines (MT);"
IV.d.5,"IV.d.(5) Air-breathing engines that operate above Mach 4 not enumerated in paragraph (d)(4) of this category;"
IV.d.6,"(6) Pressure gain combustion-based propulsion systems not enumerated in paragraphs (d)(4) and (d)(5) of this category; or"
IV.d.7,"IV.d.(7) Rocket, SLV, and missile engines and motors, not otherwise enumerated in paragraphs (d)(1) through (d)(6) of this category or USML Category XIX."
IV.e-f,"(e)–(f) [Reserved]"
IV.g,"IV.g This paragraph does not control model and high power rocket motors, containing no more than 5 pounds of propellant, that are certified for U.S. consumer use as described in National Fire Protection Association Code 1125."
IV.h,"IV.h  Systems, subsystems, parts, components, accessories, attachments, or associated equipment, as follows:"
IV.h.1,"IV.h.(1) Flight control and guidance systems (including guidance sets) specially designed for articles enumerated in paragraph (a) of this category (MT for those articles enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.2,"IV.h.(2) Seeker systems specially designed for articles enumerated in paragraph (a) of this category (e.g., radiofrequency, infrared) (MT for articles enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.3,"IV.h.(3) Kinetic kill vehicles and specially designed parts and components therefor;"
IV.h.4,"IV.h.(4) Missile or rocket thrust vector control systems (MT for those thrust vector control systems usable in articles enumerated in paragraph (a)(1) of this category);"
IV.h.5,"IV.h.(5) MANPADS grip stocks and specially designed parts and components therefor;"
IV.h.6,"IV.h.(6) Rocket or missile nozzles and nozzle throats, and specially designed parts and components therefor (MT for those nozzles and nozzle throats usable in systems enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.7,"IV.h.(7) Rocket or missile nose tips, nose fairings, or aerospikes, and specially designed parts and components therefor (MT for those articles enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.8,"IV.h.(8) Re-entry vehicle or warhead heat shields (MT for those re-entry vehicles and heat shields usable in systems enumerated in paragraph (a)(1) of this category);"
IV.h.9,"IV.h.(9) Missile and rocket safing, arming, fuzing, and firing (SAFF) components (to include target detection and proximity sensing devices), and specially designed parts therefor (MT for those SAFF components usable in systems enumerated in paragraph (a)(1) of this category);"
IV.h.10,"IV.h.(10) Self-destruct systems specially designed for articles enumerated in paragraph (a) of this category (MT for those articles enumerated in paragraphs (a)(1) and (a)(2) of this category);"
IV.h.11,"IV.h.(11) Separation mechanisms, staging mechanisms, and interstages useable for articles enumerated in paragraph (a) of this category, and specially designed parts and components therefor (MT for those separation mechanisms, staging mechanisms, and interstages usable in systems enumerated in paragraph (a)(1) of this category);"
