Id,Description,ClassificationType
7,Category 7—Navigation and Avionics,None
7A,A. 'End Items'; 'Equipment'; 'Accessories'; 'Attachments'; 'Parts'; 'Components' and 'Systems',Hardware
7A001,7A001 Accelerometers as follows (see List of Items Controlled) and 'specially designed' 'components' therefor.,Hardware
7A001.a, a. Linear accelerometers having any of the following:,Hardware
7A001.a.1,a.1. Specified to function at linear acceleration levels less than or equal to 15 g and having any of the following:,Hardware
7A001.a.1.a,a.1.a. A 'bias' 'stability' of less (better) than 130 micro g with respect to a fixed calibration value over a period of one year; or,Hardware
7A001.a.1.b,a.1.b. A 'scale factor' 'stability' of less (better) than 130 ppm with respect to a fixed calibration value over a period of one year;,Hardware
7A001.a.2,a.2. Specified to function at linear acceleration levels exceeding 15 g but less than or equal to 100 g and having all of the following:,Hardware
7A001.a.2.a,a.2.a. A 'bias' 'repeatability' of less (better) than 1;250 micro g over a period of one year; ,Hardware
7A001.a.2.b,a.2.b. A 'scale factor' 'repeatability' of less (better) than 1;250 ppm over a period of one year; ,Hardware
7A001.a.3,a.3. Designed for use in inertial navigation or guidance systems and specified to function at linear acceleration levels exceeding 100 g;,Hardware
7A001.b,b. Angular or rotational accelerometers; specified to function at linear acceleration levels exceeding 100 g.,Hardware
7A002,7A002 Gyros or Angular Rate Sensors; Having any of the Following; and 'Specially Designed' 'Components' Therefor.,Hardware
7A002.a,a. Specified to function at linear acceleration levels less than or equal to 100 g and having any of the following:,Hardware
7A002.a.1,a.1. An angular rate range of less than 500 degrees per second and having any of the following:,Hardware
7A002.a.1.a,a.1.a. A 'bias' 'stability' of less (better) than 0.5 degree per hour; when measured in a 1 g environment over a period of one month; and with respect to a fixed calibration value; ,Hardware
7A002.a.1.b,a.1.b. An 'angle random walk' of less (better) than or equal to 0.0035 degree per square root hour; ,Hardware
7A002.a.2,a.2. An angular rate range greater than or equal to 500 degrees per second and having any of the following:,Hardware
7A002.a.2.a,a.2.a. A 'bias' 'stability' of less (better) than 4 degrees per hour; when measured in a 1 g environment over a period of three minutes; and with respect to a fixed calibration value; ,Hardware
7A002.a.2.b,a.2.b. An 'angle random walk' of less (better) than or equal to 0.1 degree per square root hour; ,Hardware
7A002.b,b. Specified to function at linear acceleration levels exceeding 100 g.,Hardware
7A003,7A003 Inertial measurement equipment or systems; having any of the following.,Hardware
7A003.a,a. Designed for 'aircraft'; land vehicles or vessels; providing position without the use of positional aiding references; and having any of the following 'accuracies' subsequent to normal alignment:,Hardware
7A003.a.1,a.1. 0.8 nautical miles per hour (nm/hr) 'Circular Error Probable' ('CEP') rate or less (better);,Hardware
7A003.a.2,a.2. 0.5% distanced travelled 'CEP' or less (better); ,Hardware
7A003.a.3,a.3. Total drift of 1 nautical mile 'CEP' or less (better) in a 24 hr period;,Hardware
