head,type,tail
Launch_vehicle,subclass_of,Spacecraft
Spacecraft,has_part,Launch_vehicle
Launch_vehicle,part_of,Spacecraft
Satellites,subclass_of,Spacecraft
Spacecraft,connects_with,Satellites
Spacecraft,has_part,Satellites
Spacecraft,has_part,payload
sub_orbital_craft,subclass_of,Spacecraft
electro_optical,subclass_of,electronic_component
electro_optical,subclass_of,remote_sensing
radar_remote,subclass_of,remote_sensing
sub_orbital_craft,subclass_of,in_space_habitats
in_space_habitat,subclass_of,sub_orbital_craft
sub_orbital_craft,subclass_of,in_space_habitat
Integrated_Circuits,subclass_of,electronic_component
Microcircuits,subclass_of,Integrated_Circuits
Microcircuits,subclass_of,electronic_component
MOSFET,subclass_of,Integrated_Circuits
MOSFET,subclass_of,Microcircuits
MOSFET,subclass_of,electronic_component
electronic_component,has_part,Integrated_Circuits
electronic_component,has_part,Microcircuits
Integrated_Circuit,has_part,discrete_electronic_component
Microcircuits,subclass_of,Integrated_Circuit
MOSFET,subclass_of,Integrated_Circuit
discrete_electronic_component,part_of,Integrated_Circuit
Integrated_Circuits,has_part,Discrete_electronic_component
Discrete_electronic_component,part_of,Integrated_Circuits
linear_energy_transfer,subclass_of,payload
single_event_latchup,subclass_of,linear_energy_transfer
Application_specific_Integrated_Circuit,subclass_of,Integrated_Circuits
Application_specific_Integrated_Circuit,subclass_of,Integrated_Circuit
Application_specific_Integrated_Circuits,subclass_of,Integrated_Circuits
radiation_hardened,subclass_of,Microelectronic_Circuit
mono_propellant,subclass_of,Spacecraft_thruster
bi_propellant,subclass_of,Spacecraft_thruster
Spacecraft_thruster,has_part,bi_propellant
Spacecraft_thruster,has_part,mono_propellant
Spacecraft_thruster,part_of,Spacecraft
Microelectronic_Circuit,has_part,discrete_electronic_component
discrete_electronic_component,part_of,Microelectronic_Circuit
Microelectronic_Circuit,has_part,Discrete_electronic_component
Microelectronic_Circuit,part_of,Spacecraft
Discrete_electronic_component,part_of,Microelectronic_Circuit
Travelling_wave_tube,part_of,Spacecraft
Travelling_wave_tube,subclass_of,microwave
thermistor,subclass_of,Discrete_electronic_component
thermistors,subclass_of,Discrete_electronic_component
thermistor,subclass_of,Discrete_electronic_component
bandpass,subclass_of,ceramic_filter
bandpass,subclass_of,microwave
bandpass,subclass_of,ceramic
